ticker,adf_stat_levels,adf_p_levels,adf_p_diff,is_i1,reason
D,-3.7143432912875647,0.003915867089855233,1.277022299968119e-10,False,"levels reject a unit root (ADF p = 0.004 <= 0.05): stationary on its own, not eligible for pairing"
AEP,-3.6362144747292735,0.0051052552343041355,2.0702592811153322e-12,False,"levels reject a unit root (ADF p = 0.005 <= 0.05): stationary on its own, not eligible for pairing"
SRE,-3.3427270747758313,0.013073307864120127,4.157689643147957e-12,False,"levels reject a unit root (ADF p = 0.013 <= 0.05): stationary on its own, not eligible for pairing"
ATO,-3.228662356827099,0.018384391939705043,2.3274448343706326e-13,False,"levels reject a unit root (ADF p = 0.018 <= 0.05): stationary on its own, not eligible for pairing"
ETR,-2.9447159077714637,0.04038978693719619,1.7169846196585135e-08,False,"levels reject a unit root (ADF p = 0.040 <= 0.05): stationary on its own, not eligible for pairing"
CMS,-2.9111370183919587,0.04406815710121675,6.802946812599633e-09,False,"levels reject a unit root (ADF p = 0.044 <= 0.05): stationary on its own, not eligible for pairing"
PPL,-2.832823331532726,0.05373599135374735,1.2821426079908596e-13,True,
XEL,-2.701095652638925,0.0738488651084726,8.297507759591628e-10,True,
WEC,-2.690421346354757,0.07571051194496349,5.067363274462297e-14,True,
EIX,-2.646448346460243,0.08377220451050621,1.928950925825247e-13,True,
ES,-2.480016695130554,0.1204124935190447,1.9254493536736154e-12,True,
PNW,-2.4356129707220746,0.13193610496496488,4.37758659885708e-09,True,
EVRG,-2.3968717727528754,0.1426212750446137,3.4836302614337774e-13,True,
KMI,-2.3375584705479184,0.16014050533035978,8.397045666196283e-15,True,
HAL,-2.3239713486297933,0.16435323849026456,1.76092174037933e-14,True,
NI,-2.310953614477015,0.16845954605983626,4.548044367478193e-15,True,
NRG,-2.2341084245761067,0.19409972231099654,0.0,True,
C,-2.1798286721047098,0.21364776390506712,4.651944627175557e-12,True,
LNT,-2.1476474856289465,0.22579166033964976,7.084335738221175e-12,True,
MA,-2.1417761894500607,0.22805120836159137,6.423505297703238e-14,True,
V,-2.1194650405185365,0.23675998306011142,1.1820385789193042e-08,True,
ED,-2.115246993654647,0.23842806998605753,5.724898072343881e-15,True,
PSX,-2.096284988833926,0.24601104780975386,0.0,True,
OKE,-1.9039917632798156,0.33018559576943995,3.652764842845641e-12,True,
SLB,-1.9032620273710465,0.3305281096206022,3.158807119213834e-15,True,
ALL,-1.902481329521481,0.3308947168960722,7.854038285586773e-09,True,
DTE,-1.8853660761055437,0.33897637519117935,1.92994051128965e-08,True,
SO,-1.8728908245061908,0.3449195908908498,2.767164865409435e-13,True,
VLO,-1.8629438655328021,0.34968914559014636,0.0,True,
AEE,-1.8266931410477425,0.3672921127943436,1.2398340567184599e-09,True,
CNP,-1.8264993699485248,0.3673871004842896,1.7029354025828274e-10,True,
APA,-1.8204181979070877,0.370372773177158,0.0,True,
CVX,-1.7734698580009818,0.3937104260826643,2.918093376893542e-15,True,
BKR,-1.710626656321485,0.42564578843007445,0.0,True,
MTB,-1.7091899835187327,0.42638384953663433,1.6229480247648554e-17,True,
FE,-1.7066227291957325,0.4277035185385276,7.008532673402835e-13,True,
OXY,-1.6724088729871962,0.44538136985187887,0.0,True,
EQT,-1.611356634523339,0.4772634911847536,0.0,True,
TFC,-1.6048941462408866,0.48113455358258045,5.051789818847054e-13,True,
MPC,-1.6021779820292428,0.4824993086702951,5.467269289666699e-18,True,
COP,-1.4610248924017164,0.5526961898950529,3.711931073666294e-14,True,
WMB,-1.4468263190461244,0.5596327161321775,3.784895979969328e-15,True,
PGR,-1.4410682013482803,0.5624369551534386,1.9874937456908378e-14,True,
NTRS,-1.3899849515820693,0.5870679294861438,1.7032864213846711e-16,True,
USB,-1.3491157010576578,0.6064132695657407,2.393899057074e-16,True,
EOG,-1.3433519896035464,0.6091128899904528,0.0,True,
TRV,-1.3326556945730292,0.614103072914261,5.872867772763587e-23,True,
AES,-1.2802629220966568,0.6381529867188112,3.9841780550477234e-30,True,
STT,-1.2713354102263787,0.6421822666477632,6.958642529282244e-16,True,
CME,-1.2186137197691405,0.6655377464108986,7.307681000308004e-18,True,
CB,-1.209627482225292,0.6694405607549803,1.0886694716233287e-12,True,
PEG,-1.2057024046518905,0.6711378834196532,3.685357745438585e-12,True,
AIG,-1.1898989289144837,0.6779257739464761,6.30489494441024e-16,True,
XOM,-1.1884907347724287,0.6785270084441097,2.6160092797579524e-15,True,
WFC,-1.1857185713239144,0.679708853456922,7.024362802820495e-13,True,
HBAN,-1.1829832680001504,0.6808727128068963,3.2132513659725374e-28,True,
TRGP,-1.1791107535964442,0.6825165770849845,3.215340326389524e-13,True,
