ticker,adf_stat_levels,adf_p_levels,adf_p_diff,is_i1,reason
D,-3.7143442025591424,0.003915854835535381,1.2770569961239629e-10,False,"levels reject a unit root (ADF p = 0.004 <= 0.05): stationary on its own, not eligible for pairing"
AEP,-3.63621290622896,0.005105282102701793,2.0703258821115906e-12,False,"levels reject a unit root (ADF p = 0.005 <= 0.05): stationary on its own, not eligible for pairing"
PCG,-3.609452100235418,0.005582873891605904,0.0,False,"levels reject a unit root (ADF p = 0.006 <= 0.05): stationary on its own, not eligible for pairing"
SRE,-3.3427248825788487,0.013073395274781144,4.157515103671911e-12,False,"levels reject a unit root (ADF p = 0.013 <= 0.05): stationary on its own, not eligible for pairing"
ATO,-3.2286633022002036,0.01838434105944106,2.327435093364152e-13,False,"levels reject a unit root (ADF p = 0.018 <= 0.05): stationary on its own, not eligible for pairing"
ETR,-2.9447172405804016,0.040389646192555716,1.7170169629150714e-08,False,"levels reject a unit root (ADF p = 0.040 <= 0.05): stationary on its own, not eligible for pairing"
CMS,-2.911137326809285,0.04406812207841923,6.802991352197938e-09,False,"levels reject a unit root (ADF p = 0.044 <= 0.05): stationary on its own, not eligible for pairing"
PPL,-2.8328236597359666,0.0537359474663869,1.2821686542763477e-13,True,
TXNM,-2.7038514927093784,0.07337416062611203,2.1900120360051912e-11,True,
XEL,-2.701096128824085,0.07384878287438686,8.297571712112408e-10,True,
WEC,-2.6904204469858746,0.07571067034365973,5.06729308245602e-14,True,
EIX,-2.646445132273022,0.08377281730138775,1.9289115116677688e-13,True,
ORA,-2.507070913220157,0.11376336081192923,3.995695109984897e-20,True,
ES,-2.480017108038977,0.12041238990650516,1.9254266916696724e-12,True,
NWE,-2.442092568562179,0.13020670818477398,3.7666303153873427e-10,True,
PNW,-2.4356148771435966,0.1319355937233171,4.377711466100857e-09,True,
EVRG,-2.3968695311904744,0.14262191050129724,3.483603704297031e-13,True,
SWX,-2.3415526744480326,0.15891628658091772,6.012053625125363e-14,True,
NI,-2.310954460523707,0.16845927695163476,4.548040975486953e-15,True,
OGS,-2.2410988290644904,0.19166838797651858,2.2731879838617943e-12,True,
WTRG,-2.236913582596529,0.1931216878224138,9.152719662257143e-09,True,
NRG,-2.2341065935471134,0.1941003617476868,0.0,True,
POR,-2.165023134006309,0.2191839840175136,5.783321751693248e-12,True,
LNT,-2.147650354917232,0.22579055940237114,7.084547137496118e-12,True,
ED,-2.115246211508613,0.23842837993158889,5.7250402398972055e-15,True,
AVA,-2.0518524686148396,0.264310158536595,4.049918438853556e-11,True,
BKH,-2.0009543252400817,0.2861548176407397,6.6020801338295e-11,True,
IDA,-1.959232742561657,0.3047290573865321,1.993332074568637e-13,True,
SR,-1.9280463458533859,0.31898440301747544,3.5379039453222795e-12,True,
DTE,-1.885367600877906,0.3389756514623385,1.9299505809389313e-08,True,
SO,-1.872890046410126,0.3449199629277503,2.767127671008104e-13,True,
AEE,-1.8266916958479034,0.3672928212054303,1.2398538588029667e-09,True,
CNP,-1.8265002340823275,0.36738667686058524,1.7029538401346057e-10,True,
OGE,-1.815729917821745,0.3726806626492044,1.6630775451580756e-08,True,
VST,-1.8107993948423318,0.37511342826034444,8.63879287255991e-21,True,
FE,-1.7066230353435003,0.4277033611062805,7.008529042515487e-13,True,
NJR,-1.6151073274896028,0.4752952523295044,1.838344867191647e-18,True,
MDU,-1.511250916415519,0.5279385113416926,1.938576736084881e-19,True,
UGI,-1.3662754138014563,0.5983331190084502,1.5842942144217716e-17,True,
AES,-1.2802624797038409,0.6381531868993509,3.9841509266942085e-30,True,
PEG,-1.205702565394467,0.6711378140021108,3.685613878662192e-12,True,
DUK,-1.0356457417846392,0.7400424013333541,6.20509639477479e-12,True,
AWK,-0.9211689304744716,0.7809212782278876,1.7717066077971393e-12,True,
AWR,-0.8660838952144715,0.798936247391909,6.894880824560355e-10,True,
EXC,-0.783456802963161,0.8239332740753379,1.0828620947077286e-12,True,
NEE,-0.688254335121478,0.8497685168166806,4.095786303557765e-09,True,
CWEN,-0.3428186593922331,0.9192171893936003,2.4003381717883122e-17,True,
NFG,0.12943130571585562,0.9680140024678592,6.9959092948267e-15,True,
CPK,0.3408831238450464,0.9791443627606405,2.0858994586115928e-14,True,
OTTR,1.1647275719347572,0.995732889898744,5.614625718561698e-10,True,
